"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2024","172.12","173.22","174.29","170.81","26.41M","0.77%"
"08/28/2024","170.80","173.69","173.69","168.92","29.05M","-1.34%"
"08/27/2024","173.12","174.15","174.89","172.25","29.84M","-1.36%"
"08/26/2024","175.50","176.70","177.47","174.30","22.37M","-0.87%"
"08/23/2024","177.04","177.34","178.97","175.24","29.15M","0.52%"
"08/22/2024","176.13","181.38","181.47","175.68","32.05M","-2.21%"
"08/21/2024","180.11","179.92","182.38","178.89","35.60M","0.69%"
"08/20/2024","178.88","177.92","179.01","177.43","26.26M","0.37%"
"08/19/2024","178.22","177.64","178.30","176.16","31.13M","0.66%"
"08/16/2024","177.06","177.04","178.34","176.26","31.49M","-0.30%"
"08/15/2024","177.59","174.86","177.91","173.99","51.70M","4.40%"
"08/14/2024","170.10","172.11","172.28","168.86","28.84M","-0.08%"
"08/13/2024","170.23","167.81","171.04","167.10","39.24M","2.06%"
"08/12/2024","166.80","168.14","168.55","166.11","30.07M","-0.08%"
"08/09/2024","166.94","166.40","168.55","165.85","36.40M","0.69%"
"08/08/2024","165.80","165.16","166.69","162.55","44.62M","1.86%"
"08/07/2024","162.77","166.55","167.58","161.43","48.41M","0.52%"
"08/06/2024","161.93","161.71","165.08","158.54","59.95M","0.57%"
"08/05/2024","161.02","154.21","162.96","151.61","83.15M","-4.10%"
"08/02/2024","167.90","166.75","168.77","160.55","141.45M","-8.78%"
"08/01/2024","184.07","189.29","190.60","181.87","70.44M","-1.56%"
"07/31/2024","186.98","185.05","187.94","184.46","41.67M","2.90%"
"07/30/2024","181.71","184.72","185.86","179.38","39.51M","-0.81%"
"07/29/2024","183.20","183.84","184.75","182.38","33.27M","0.38%"
"07/26/2024","182.50","180.39","183.19","180.24","29.51M","1.47%"
"07/25/2024","179.85","182.91","183.90","176.80","44.46M","-0.54%"
"07/24/2024","180.83","183.20","185.45","180.41","41.53M","-2.99%"
"07/23/2024","186.41","184.10","189.39","183.56","47.54M","2.11%"
"07/22/2024","182.55","185.00","185.06","182.48","39.93M","-0.32%"
"07/19/2024","183.13","181.14","184.93","180.11","43.08M","-0.34%"
"07/18/2024","183.75","189.59","189.68","181.45","51.04M","-2.22%"
"07/17/2024","187.93","191.35","191.58","185.99","48.08M","-2.64%"
"07/16/2024","193.02","195.59","196.62","192.24","33.99M","0.16%"
"07/15/2024","192.72","194.56","196.19","190.83","40.68M","-0.91%"
"07/12/2024","194.49","194.80","196.47","193.83","30.60M","-0.29%"
"07/11/2024","195.05","200.09","200.27","192.86","44.57M","-2.37%"
"07/10/2024","199.79","199.99","200.11","197.69","32.88M","0.23%"
"07/09/2024","199.34","199.40","200.57","199.04","32.76M","0.03%"
"07/08/2024","199.29","200.04","201.20","197.96","34.77M","-0.36%"
"07/05/2024","200.00","198.65","200.55","198.17","39.86M","1.22%"
"07/03/2024","197.59","199.94","200.03","196.76","31.60M","-1.21%"
"07/02/2024","200.00","197.28","200.43","195.93","45.60M","1.42%"
"07/01/2024","197.20","193.49","198.30","192.82","41.19M","2.04%"
"06/28/2024","193.25","197.73","198.85","192.50","76.93M","-2.32%"
"06/27/2024","197.85","195.01","199.84","194.20","74.40M","2.19%"
"06/26/2024","193.61","186.92","194.80","186.26","65.10M","3.90%"
"06/25/2024","186.34","186.81","188.84","185.42","45.90M","0.41%"
"06/24/2024","185.57","189.33","191.00","185.33","50.61M","-1.86%"
"06/21/2024","189.08","187.80","189.27","185.86","72.93M","1.60%"
"06/20/2024","186.10","182.91","186.51","182.72","44.73M","1.80%"
"06/18/2024","182.81","183.74","184.29","181.43","36.66M","-0.68%"
"06/17/2024","184.06","182.52","185.00","181.22","35.60M","0.22%"
"06/14/2024","183.66","183.08","183.72","182.23","25.46M","-0.09%"
"06/13/2024","183.83","186.09","187.67","182.67","39.72M","-1.64%"
"06/12/2024","186.89","188.01","188.35","185.43","33.98M","-0.18%"
"06/11/2024","187.23","187.06","187.77","184.54","27.27M","0.09%"
"06/10/2024","187.06","184.07","187.23","183.79","34.49M","1.50%"
"06/07/2024","184.30","184.90","186.29","183.36","28.02M","-0.38%"
"06/06/2024","185.00","181.74","185.00","181.49","31.37M","2.05%"
"06/05/2024","181.28","180.10","181.50","178.75","32.12M","1.08%"
"06/04/2024","179.34","177.64","179.82","176.44","27.20M","0.56%"
"06/03/2024","178.34","177.70","178.70","175.92","30.79M","1.08%"
"05/31/2024","176.44","178.30","179.21","173.87","58.90M","-1.61%"
"05/30/2024","179.32","181.31","181.34","178.35","29.25M","-1.48%"
"05/29/2024","182.02","181.70","184.08","181.55","32.01M","-0.07%"
